from_city,to_city,travel_time_min,frequency_per_day,n_airlines,operator
Amsterdam,Barcelona,138,12.2,5,air
Amsterdam,Bilbao,133,7.0,2,air
Amsterdam,Bordeaux,115,10.5,3,air
Amsterdam,Bremen,66,7.0,2,air
Amsterdam,Brussels,58,4.2,1,air
Amsterdam,Cologne,61,0.3,2,air
Amsterdam,Dusseldorf,59,7.0,2,air
Amsterdam,Frankfurt,72,10.5,4,air
Amsterdam,Geneva,97,7.2,2,air
Amsterdam,Hamburg,72,4.8,3,air
Amsterdam,Hannover,70,7.0,2,air
Amsterdam,Leipzig,84,3.5,1,air
Amsterdam,Lisbon,185,6.7,8,air
Amsterdam,London,72,37.5,8,air
Amsterdam,Lyon,100,2.2,2,air
Amsterdam,Madrid,156,9.4,3,air
Amsterdam,Malaga,187,10.5,3,air
Amsterdam,Marseille,121,2.6,2,air
Amsterdam,Milan,107,12.2,4,air
Amsterdam,Munich,95,10.0,2,air
Amsterdam,Nantes,100,7.0,2,air
Amsterdam,Naples,155,0.4,1,air
Amsterdam,Nice,119,10.5,3,air
Amsterdam,Nuremberg,86,3.5,1,air
Amsterdam,Palermo,174,10.5,3,air
Amsterdam,Palma,153,10.5,3,air
Amsterdam,Paris,77,10.1,3,air
Amsterdam,Porto,166,3.7,4,air
Amsterdam,Rome,142,6.7,4,air
Amsterdam,Seville,185,1.3,3,air
Amsterdam,Strasbourg,80,4.9,4,air
Amsterdam,Stuttgart,83,4.4,1,air
Amsterdam,Toulouse,121,2.8,2,air
Amsterdam,Turin,108,1.5,1,air
Amsterdam,Valencia,157,3.4,3,air
Amsterdam,Venice,116,3.9,3,air
Amsterdam,Vienna,115,7.1,2,air
Amsterdam,Zurich,91,9.5,3,air
Antwerp,London,69,7.0,2,air
Barcelona,Amsterdam,138,12.2,5,air
Barcelona,Bilbao,80,7.0,2,air
Barcelona,Bordeaux,78,7.0,2,air
Barcelona,Brussels,125,8.4,5,air
Barcelona,Cologne,129,3.1,1,air
Barcelona,Dortmund,135,7.0,2,air
Barcelona,Dresden,149,7.0,2,air
Barcelona,Dusseldorf,131,14.0,4,air
Barcelona,Frankfurt,127,6.7,4,air
Barcelona,Geneva,92,4.9,2,air
Barcelona,Genoa,93,7.0,2,air
Barcelona,Granada,96,7.0,2,air
Barcelona,Hamburg,155,2.4,4,air
Barcelona,Hannover,146,10.5,3,air
Barcelona,Leipzig,146,7.0,2,air
Barcelona,Lille,122,7.0,2,air
Barcelona,Lisbon,120,8.8,4,air
Barcelona,London,130,24.9,8,air
Barcelona,Lyon,85,1.4,3,air
Barcelona,Madrid,83,16.5,3,air
Barcelona,Malaga,103,10.5,3,air
Barcelona,Marseille,70,1.2,2,air
Barcelona,Milan,99,13.6,6,air
Barcelona,Munich,124,6.6,3,air
Barcelona,Nantes,98,7.0,2,air
Barcelona,Naples,121,0.7,2,air
Barcelona,Nice,82,10.5,3,air
Barcelona,Nuremberg,130,7.0,2,air
Barcelona,Palermo,122,7.0,2,air
Barcelona,Palma,60,20.0,6,air
Barcelona,Paris,107,17.2,6,air
Barcelona,Porto,112,5.2,5,air
Barcelona,Rome,110,12.2,4,air
Barcelona,Rotterdam,134,3.5,1,air
Barcelona,Seville,107,7.7,3,air
Barcelona,Strasbourg,113,3.2,2,air
Barcelona,Stuttgart,119,2.7,3,air
Barcelona,Toulouse,64,0.1,2,air
Barcelona,Turin,90,1.4,3,air
Barcelona,Venice,115,4.2,3,air
Barcelona,Vienna,146,5.3,6,air
Barcelona,Zurich,108,5.8,3,air
Bilbao,Amsterdam,133,7.0,2,air
Bilbao,Barcelona,80,7.0,2,air
Bilbao,Brussels,120,7.0,2,air
Bilbao,Dusseldorf,131,3.5,1,air
Bilbao,Frankfurt,132,3.5,1,air
Bilbao,Geneva,104,3.5,1,air
Bilbao,Lisbon,99,14.0,4,air
Bilbao,London,116,10.5,3,air
Bilbao,Madrid,69,7.0,2,air
Bilbao,Malaga,100,7.0,2,air
Bilbao,Milan,119,7.0,2,air
Bilbao,Munich,139,3.5,1,air
Bilbao,Palma,92,14.0,4,air
Bilbao,Paris,101,17.5,5,air
Bilbao,Rome,140,3.5,1,air
Bilbao,Seville,98,7.0,2,air
Bilbao,Stuttgart,129,3.5,1,air
Bilbao,Valencia,80,3.5,1,air
Bilbao,Venice,138,3.5,1,air
Bordeaux,Amsterdam,115,10.5,3,air
Bordeaux,Barcelona,78,7.0,2,air
Bordeaux,Brussels,102,7.0,2,air
Bordeaux,Geneva,86,7.0,2,air
Bordeaux,Lille,97,7.0,2,air
Bordeaux,Lisbon,119,7.0,2,air
Bordeaux,London,101,10.5,3,air
Bordeaux,Lyon,78,7.0,2,air
Bordeaux,Madrid,87,3.5,1,air
Bordeaux,Malaga,117,3.5,1,air
Bordeaux,Marseille,83,7.0,2,air
Bordeaux,Milan,103,3.5,1,air
Bordeaux,Munich,120,3.5,1,air
Bordeaux,Nantes,66,7.0,2,air
Bordeaux,Nice,93,7.0,2,air
Bordeaux,Palermo,148,3.5,1,air
Bordeaux,Palma,93,10.5,3,air
Bordeaux,Paris,82,7.0,2,air
Bordeaux,Porto,103,3.5,1,air
Bordeaux,Rome,128,14.0,4,air
Bordeaux,Seville,116,3.5,1,air
Bordeaux,Strasbourg,102,10.5,3,air
Bordeaux,Venice,121,3.5,1,air
Bordeaux,Zurich,102,3.5,1,air
Bremen,Amsterdam,66,7.0,2,air
Bremen,Frankfurt,70,3.5,1,air
Bremen,Leipzig,68,3.5,1,air
Bremen,London,92,3.5,1,air
Bremen,Malaga,202,3.5,1,air
Bremen,Milan,109,3.5,1,air
Bremen,Munich,89,3.5,1,air
Bremen,Palma,163,10.5,3,air
Bremen,Paris,94,7.0,2,air
Bremen,Porto,185,3.5,1,air
Bremen,Stuttgart,81,3.5,1,air
Bremen,Toulouse,134,3.5,1,air
Bremen,Venice,112,3.5,1,air
Bremen,Vienna,102,3.5,1,air
Bremen,Zurich,93,3.5,1,air
Brussels,Amsterdam,58,4.2,1,air
Brussels,Barcelona,125,8.4,5,air
Brussels,Bilbao,120,7.0,2,air
Brussels,Bordeaux,102,7.0,2,air
Brussels,Frankfurt,69,6.6,3,air
Brussels,Geneva,85,6.0,4,air
Brussels,Genoa,105,3.5,1,air
Brussels,Hamburg,82,1.8,2,air
Brussels,Hannover,76,10.5,3,air
Brussels,Lisbon,173,5.4,8,air
Brussels,London,69,7.9,4,air
Brussels,Lyon,88,1.3,4,air
Brussels,Madrid,144,10.2,6,air
Brussels,Malaga,174,14.0,4,air
Brussels,Marseille,108,3.9,2,air
Brussels,Milan,97,9.9,7,air
Brussels,Munich,90,6.1,2,air
Brussels,Nantes,89,7.0,2,air
Brussels,Naples,146,0.4,2,air
Brussels,Nice,107,7.0,2,air
Brussels,Palermo,164,3.5,1,air
Brussels,Palma,140,14.0,4,air
Brussels,Paris,65,2.3,2,air
Brussels,Porto,155,3.2,5,air
Brussels,Rome,133,6.9,6,air
Brussels,Seville,173,1.2,2,air
Brussels,Strasbourg,71,0.8,4,air
Brussels,Stuttgart,76,0.2,1,air
Brussels,Toulouse,108,2.8,2,air
Brussels,Turin,97,0.8,2,air
Brussels,Valencia,144,1.6,3,air
Brussels,Venice,108,3.4,4,air
Brussels,Vienna,114,6.4,2,air
Brussels,Zurich,82,3.9,2,air
Cologne,Amsterdam,61,0.3,2,air
Cologne,Barcelona,129,3.0,1,air
Cologne,Dresden,81,3.5,1,air
Cologne,Hamburg,72,1.7,1,air
Cologne,Leipzig,74,3.5,1,air
Cologne,Lisbon,184,0.9,1,air
Cologne,London,82,7.1,2,air
Cologne,Malaga,181,10.5,3,air
Cologne,Milan,92,4.7,1,air
Cologne,Munich,79,8.1,3,air
Cologne,Naples,139,0.1,1,air
Cologne,Nice,105,3.5,1,air
Cologne,Palermo,158,3.5,1,air
Cologne,Palma,143,17.5,5,air
Cologne,Rome,127,1.8,1,air
Cologne,Venice,100,1.4,1,air
Cologne,Vienna,101,5.0,3,air
Cologne,Zurich,76,1.9,2,air
Dortmund,Barcelona,135,7.0,2,air
Dortmund,London,84,7.0,2,air
Dortmund,Malaga,187,3.5,1,air
Dortmund,Munich,81,7.0,2,air
Dortmund,Palma,148,10.5,3,air
Dortmund,Porto,171,3.5,1,air
Dresden,Barcelona,149,7.0,2,air
Dresden,Cologne,81,3.5,1,air
Dresden,Dusseldorf,81,7.0,2,air
Dresden,Frankfurt,73,3.5,1,air
Dresden,London,117,7.0,2,air
Dresden,Munich,72,3.5,1,air
Dresden,Palma,160,3.5,1,air
Dresden,Strasbourg,83,3.5,1,air
Dresden,Stuttgart,76,3.5,1,air
Dresden,Zurich,87,3.5,1,air
Dusseldorf,Amsterdam,59,7.0,2,air
Dusseldorf,Barcelona,131,14.0,4,air
Dusseldorf,Bilbao,131,3.5,1,air
Dusseldorf,Dresden,81,7.0,2,air
Dusseldorf,Frankfurt,59,7.0,2,air
Dusseldorf,Geneva,87,3.5,1,air
