city_a,city_b,n_flights_annual,avg_seats,air_pax_estimated,distance_km
Amsterdam,Athens,823.0,192.7,126874,
Amsterdam,Barcelona,8160.0,183.2,1195930,1238.8
Amsterdam,Bari,457.0,183.0,66905,
Amsterdam,Belgrade,1830.0,124.3,181975,
Amsterdam,Berlin,5776.0,157.1,725928,577.4
Amsterdam,Birmingham,3756.0,150.8,453124,
Amsterdam,Brussels,2790.0,117.1,261367,173.5
Amsterdam,Bucharest,3106.0,169.0,419931,
Amsterdam,Budapest,2682.0,165.7,355526,
Amsterdam,Catania,1.0,189.0,151,
Amsterdam,Cologne,185.0,146.3,21652,214.1
Amsterdam,Copenhagen,8322.0,146.4,974673,
Amsterdam,Edinburgh,3672.0,162.6,477654,
Amsterdam,Frankfurt,6818.0,133.9,730344,364.4
Amsterdam,Geneva,4952.0,139.2,551455,692.3
Amsterdam,Hamburg,3433.0,126.9,348518,365.9
Amsterdam,Helsinki,3520.0,198.4,558694,
Amsterdam,Lisbon,5350.0,173.1,740868,1863.4
Amsterdam,Ljubljana,224.0,176.2,31575,
Amsterdam,London,26409.0,145.5,3074008,356.9
Amsterdam,Lyon,688.0,134.8,74194,736.7
Amsterdam,Madrid,5894.0,195.0,919464,1481.5
Amsterdam,Manchester,5834.0,158.5,739751,
Amsterdam,Marseille,1728.0,95.9,132572,1010.0
Amsterdam,Milan,8250.0,153.2,1011120,829.7
Amsterdam,Munich,6724.0,128.7,692303,668.7
Amsterdam,Naples,16.0,174.3,2231,1465.1
Amsterdam,Nicosia,392.0,183.2,57452,
Amsterdam,Nottingham,410.0,110.8,36342,
Amsterdam,Oslo,4913.0,147.9,581306,
Amsterdam,Palermo,34.0,165.8,4510,1715.8
Amsterdam,Palma,2170.0,172.5,299460,1434.1
Amsterdam,Paris,7344.0,179.2,1052836,430.5
Amsterdam,Porto,2290.0,157.2,287990,1611.9
Amsterdam,Prague,3719.0,150.7,448363,
Amsterdam,Riga,930.0,134.0,99696,
Amsterdam,Rome,5118.0,176.8,723890,1298.7
Amsterdam,Rotterdam,801.0,148.7,95287,57.5
Amsterdam,Seville,848.0,185.2,125640,1869.1
Amsterdam,Stockholm,5250.0,163.6,687120,
Amsterdam,Strasbourg,3427.0,125.5,344071,467.3
Amsterdam,Stuttgart,3006.0,102.4,246252,501.0
Amsterdam,Tallinn,710.0,130.5,74124,
Amsterdam,Tenerife,35.0,188.9,5289,
Amsterdam,Toulouse,1893.0,114.0,172642,1008.0
Amsterdam,Turin,746.0,84.6,50489,837.5
Amsterdam,Venice,2756.0,148.6,327633,942.8
Amsterdam,Vienna,4850.0,172.4,668912,936.5
Amsterdam,Vilnius,714.0,131.7,75227,
Amsterdam,Warsaw,4476.0,130.2,466220,
Amsterdam,Zagreb,16.0,132.2,1692,
Amsterdam,Zurich,6217.0,134.9,670939,615.3
Athens,Barcelona,539.0,200.7,86542,
Athens,Bari,19.0,143.6,2183,
Athens,Belgrade,488.0,153.6,59965,
Athens,Berlin,444.0,200.1,71076,
Athens,Birmingham,62.0,185.1,9181,
Athens,Brussels,916.0,180.9,132564,
Athens,Bucharest,524.0,177.9,74576,
Athens,Budapest,357.0,189.0,53978,
Athens,Catania,0.0,180.0,0,
Athens,Cologne,192.0,166.8,25620,
Athens,Copenhagen,400.0,185.8,59456,
Athens,Edinburgh,120.0,181.2,17395,
Athens,Frankfurt,950.0,207.5,157700,
Athens,Geneva,465.0,167.5,62310,
Athens,Hamburg,162.0,181.7,23548,
Athens,Helsinki,72.0,184.7,10639,
Athens,Lisbon,242.0,186.6,36126,
Athens,Ljubljana,14.0,172.1,1928,
Athens,London,2805.0,194.4,436234,
Athens,Lyon,29.0,178.1,4132,
Athens,Madrid,508.0,195.1,79289,
Athens,Manchester,297.0,185.3,44027,
Athens,Marseille,162.0,175.8,22784,
Athens,Milan,1132.0,184.0,166630,
Athens,Munich,1242.0,198.3,197031,
Athens,Naples,2.0,180.0,288,
Athens,Nicosia,1334.0,186.6,199140,
Athens,Nottingham,5.0,166.5,666,
Athens,Oslo,146.0,183.3,21409,
Athens,Palermo,4.0,168.9,540,
Athens,Palma,21.0,166.4,2796,
Athens,Paris,1982.0,198.1,314107,
Athens,Porto,28.0,182.3,4084,
Athens,Prague,287.0,174.9,40157,
Athens,Riga,35.0,156.5,4382,
Athens,Rome,1302.0,185.8,193529,
Athens,Rotterdam,8.0,159.8,1023,
Athens,Seville,15.0,191.5,2298,
Athens,Stockholm,270.0,180.2,38923,
Athens,Strasbourg,100.0,174.7,13976,
Athens,Stuttgart,188.0,179.1,26937,
Athens,Tallinn,34.0,179.9,4893,
Athens,Toulouse,63.0,170.9,8613,
Athens,Turin,12.0,144.8,1390,
Athens,Valencia,0.0,180.0,0,
Athens,Venice,201.0,172.6,27754,
Athens,Vienna,875.0,185.9,130130,
Athens,Vilnius,48.0,183.6,7050,
Athens,Warsaw,254.0,196.2,39868,
Athens,Zurich,934.0,190.1,142043,
Barcelona,Bari,379.0,181.1,54910,
Barcelona,Belgrade,960.0,185.6,142541,
Barcelona,Berlin,2783.0,182.2,405650,1500.3
Barcelona,Birmingham,1317.0,184.1,193968,
Barcelona,Brussels,5375.0,188.4,810120,1065.4
Barcelona,Bucharest,1302.0,197.2,205404,
Barcelona,Budapest,1715.0,200.7,275360,
Barcelona,Catania,0.0,220.0,0,
Barcelona,Cologne,2206.0,189.1,333724,1123.0
Barcelona,Copenhagen,2602.0,183.1,381141,
Barcelona,Edinburgh,1130.0,182.8,165251,
Barcelona,Frankfurt,4719.0,207.7,784109,1093.5
Barcelona,Geneva,3351.0,163.4,438043,623.4
Barcelona,Hamburg,1439.0,175.6,202151,1472.9
Barcelona,Helsinki,1058.0,206.7,174951,
Barcelona,Lisbon,6547.0,170.2,891440,1006.1
Barcelona,Ljubljana,36.0,168.4,4850,
Barcelona,London,16154.0,174.6,2256391,1138.6
Barcelona,Lyon,452.0,168.7,61002,531.0
Barcelona,Madrid,11320.0,194.7,1763203,504.2
Barcelona,Manchester,2582.0,184.2,380484,
Barcelona,Marseille,808.0,171.1,110599,339.3
Barcelona,Milan,8403.0,186.2,1251711,726.0
Barcelona,Munich,4426.0,192.0,679834,1054.8
Barcelona,Naples,23.0,190.3,3502,1015.3
Barcelona,Nicosia,42.0,162.5,5460,
Barcelona,Nottingham,588.0,186.5,87730,
Barcelona,Oslo,1567.0,183.6,230161,
Barcelona,Palermo,163.0,183.4,23915,1023.7
Barcelona,Palma,14210.0,183.4,2084891,206.5
Barcelona,Paris,12122.0,186.0,1803754,830.2
Barcelona,Porto,3540.0,186.8,529018,899.9
Barcelona,Prague,1994.0,179.0,285541,
Barcelona,Riga,407.0,154.1,50175,
Barcelona,Rome,7588.0,183.3,1112704,861.6
Barcelona,Rotterdam,616.0,166.0,81805,1184.4
Barcelona,Seville,5196.0,187.3,778569,828.2
Barcelona,Stockholm,1976.0,181.7,287231,
Barcelona,Strasbourg,1856.0,160.2,237865,912.2
Barcelona,Stuttgart,1810.0,172.8,250214,988.7
Barcelona,Tallinn,204.0,187.7,30633,
Barcelona,Tenerife,44.0,190.9,6720,
Barcelona,Toulouse,88.0,161.6,11377,253.2
Barcelona,Turin,750.0,181.2,108720,606.5
Barcelona,Valencia,0.0,218.0,0,302.5
Barcelona,Venice,2767.0,190.1,420805,936.0
Barcelona,Vienna,3524.0,190.8,537903,1350.4
Barcelona,Vilnius,458.0,185.5,67967,
Barcelona,Warsaw,1296.0,187.4,194296,
Barcelona,Zagreb,4.0,157.1,503,
Barcelona,Zurich,3892.0,186.1,579441,835.9
Bari,Belgrade,128.0,76.6,7844,
Bari,Berlin,224.0,186.5,33421,
Bari,Birmingham,6.0,140.8,676,
Bari,Brussels,480.0,183.4,70426,
Bari,Bucharest,406.0,204.7,66487,
Bari,Budapest,708.0,195.3,110618,
Bari,Catania,0.0,189.0,0,
Bari,Cologne,98.0,166.3,13038,
Bari,Copenhagen,34.0,164.5,4474,
Bari,Edinburgh,110.0,188.6,16597,
Bari,Frankfurt,306.0,163.3,39976,
Bari,Geneva,18.0,147.1,2118,
Bari,Hamburg,66.0,150.3,7936,
Bari,Helsinki,2.0,150.0,240,
Bari,Lisbon,5.0,118.2,473,
Bari,Ljubljana,2.0,150.0,240,
Bari,London,1248.0,179.2,178913,
Bari,Lyon,36.0,162.7,4686,
Bari,Madrid,306.0,186.2,45582,
Bari,Manchester,2.0,155.8,249,
Bari,Marseille,114.0,183.9,16772,
Bari,Milan,8240.0,164.4,1083725,
Bari,Munich,856.0,118.6,81217,
Bari,Naples,1.0,129.0,103,
Bari,Nicosia,34.0,184.8,5027,
Bari,Nottingham,2.0,150.0,240,
Bari,Oslo,18.0,186.9,2691,
Bari,Palermo,115.0,186.3,17140,
Bari,Palma,26.0,156.7,3259,
Bari,Paris,1014.0,181.6,147314,
Bari,Porto,154.0,188.8,23260,
Bari,Prague,292.0,184.3,43052,
Bari,Riga,0.0,50.0,0,
Bari,Rome,3550.0,177.4,503816,
Bari,Rotterdam,4.0,157.4,504,
Bari,Seville,146.0,188.9,22064,
Bari,Stockholm,2.0,150.0,240,
Bari,Strasbourg,198.0,177.6,28132,
Bari,Stuttgart,213.0,158.5,27008,
Bari,Tallinn,1.0,149.5,120,
Bari,Toulouse,1.0,150.0,120,
Bari,Turin,798.0,187.3,119572,
Bari,Venice,1290.0,187.7,193706,
Bari,Vienna,462.0,179.1,66195,
Bari,Vilnius,2.0,150.0,240,
Bari,Warsaw,211.0,218.8,36933,
Bari,Zagreb,0.0,150.0,0,
Bari,Zurich,170.0,130.9,17802,
Belgrade,Berlin,704.0,157.0,88422,
Belgrade,Birmingham,14.0,128.8,1443,
Belgrade,Brussels,217.0,143.9,24981,
Belgrade,Bucharest,866.0,87.9,60897,
Belgrade,Budapest,681.0,93.6,50993,
Belgrade,Cologne,578.0,193.9,89659,
Belgrade,Copenhagen,536.0,156.2,66979,
Belgrade,Edinburgh,3.0,138.0,331,
Belgrade,Frankfurt,1985.0,168.8,268054,
Belgrade,Geneva,434.0,166.5,57809,
Belgrade,Hamburg,352.0,194.8,54856,
Belgrade,Helsinki,4.0,150.0,480,
Belgrade,Lisbon,106.0,180.7,15323,
Belgrade,Ljubljana,1272.0,89.2,90770,
Belgrade,London,1210.0,169.5,164076,
Belgrade,Lyon,50.0,135.6,5424,
Belgrade,Madrid,220.0,155.0,27280,
Belgrade,Manchester,12.0,154.2,1480,
Belgrade,Marseille,38.0,114.5,3481,
Belgrade,Milan,1134.0,154.7,140344,
Belgrade,Minsk,28.0,150.0,3360,
Belgrade,Munich,1274.0,131.7,134229,
Belgrade,Naples,2.0,114.4,183,
Belgrade,Nicosia,1046.0,163.7,136984,
Belgrade,Nottingham,10.0,174.1,1393,
Belgrade,Oslo,598.0,164.6,78745,
Belgrade,Palermo,14.0,147.9,1656,
Belgrade,Palma,100.0,165.3,13224,
Belgrade,Paris,1409.0,162.7,183395,
Belgrade,Porto,14.0,144.2,1615,
Belgrade,Prague,608.0,84.2,40955,
Belgrade,Riga,37.0,140.0,4144,
Belgrade,Rome,1072.0,165.3,141761,
Belgrade,Rotterdam,18.0,150.2,2163,
Belgrade,Seville,4.0,150.0,480,
Belgrade,Stockholm,546.0,151.5,66175,
Belgrade,Strasbourg,422.0,206.6,69748,
Belgrade,Stuttgart,442.0,147.7,52227,
Belgrade,Tallinn,17.0,152.0,2067,
Belgrade,Toulouse,2.0,163.0,261,
Belgrade,Turin,13.0,146.2,1520,
Belgrade,Valencia,2.0,140.0,224,
Belgrade,Venice,312.0,87.4,21815,
Belgrade,Vienna,3059.0,107.7,263563,
Belgrade,Vilnius,23.0,152.2,2800,
Belgrade,Warsaw,978.0,92.6,72450,
Belgrade,Zagreb,15.0,75.0,900,
Belgrade,Zurich,3422.0,141.6,387644,
Berlin,Birmingham,34.0,161.4,4390,
Berlin,Brussels,2942.0,161.2,379400,651.3
Berlin,Bucharest,446.0,186.9,66686,
Berlin,Budapest,1366.0,193.3,211238,
Berlin,Catania,0.0,180.0,0,
Berlin,Cologne,4452.0,166.5,593006,478.6
Berlin,Copenhagen,2961.0,163.0,386114,
Berlin,Edinburgh,980.0,179.2,140493,
Berlin,Frankfurt,8130.0,192.9,1254622,423.7
Berlin,Geneva,1001.0,168.7,135095,877.1
Berlin,Hamburg,353.0,155.3,43857,255.4
Berlin,Helsinki,2408.0,180.2,347137,
Berlin,Lisbon,1703.0,162.2,220981,2313.1
Berlin,Ljubljana,44.0,159.3,5607,
Berlin,London,9720.0,159.9,1243382,931.8
Berlin,Lyon,35.0,168.6,4721,976.2
Berlin,Madrid,2373.0,193.1,366581,1869.7
Berlin,Manchester,1210.0,180.6,174821,
Berlin,Marseille,382.0,181.9,55589,1186.2
Berlin,Milan,3624.0,172.5,500112,842.9
Berlin,Munich,6854.0,176.8,969430,504.9
Berlin,Naples,10.0,172.0,1376,1299.5
Berlin,Nicosia,378.0,178.4,53948,
Berlin,Nottingham,208.0,183.2,30484,
Berlin,Oslo,1544.0,186.4,230241,
Berlin,Palermo,67.0,186.4,9991,1602.1
Berlin,Palma,4564.0,176.7,645167,1658.7
Berlin,Paris,6256.0,166.1,831297,878.4
Berlin,Porto,596.0,182.8,87159,2084.9
Berlin,Prague,248.0,152.5,30256,
Berlin,Riga,957.0,156.3,119663,
Berlin,Rome,1840.0,179.5,264224,1184.2
Berlin,Rotterdam,58.0,152.1,7057,611.6
Berlin,Seville,8.0,156.1,999,2257.4
Berlin,Stockholm,2376.0,160.4,304888,
Berlin,Strasbourg,1232.0,175.0,172480,593.1
Berlin,Stuttgart,3628.0,162.8,472511,511.9
Berlin,Tallinn,476.0,166.2,63289,
Berlin,Tenerife,9.0,182.2,1312,
Berlin,Toulouse,18.0,168.6,2428,1328.7
Berlin,Turin,10.0,149.4,1195,928.1
Berlin,Valencia,0.0,180.0,0,1793.6
Berlin,Venice,1231.0,171.9,169287,792.0
Berlin,Vienna,4209.0,177.3,597005,523.8
Berlin,Vilnius,599.0,169.9,81416,
Berlin,Warsaw,1358.0,94.3,102448,
Berlin,Zurich,5326.0,167.0,711554,670.4
Birmingham,Brussels,697.0,134.9,75220,
Birmingham,Bucharest,806.0,199.4,128573,
Birmingham,Budapest,368.0,199.8,58821,
