p_int,q_contact,scenario,arrived_informed,total_stranded,top_city,top_stranded,inform_broadcast_pct,inform_peer_pct,inform_experiential_pct
0.1,0.05,A,217.2,1485.3,London,225.0,16.1,0.3,83.6
0.1,0.05,B,425.4,203.1,Zurich,98.6,50.7,3.3,46.0
0.1,0.05,C,272.4,664.5,Madrid,179.8,31.5,1.5,67.0
0.1,0.1,A,217.0,1490.3,London,224.2,16.0,0.5,83.5
0.1,0.1,B,437.8,204.4,Zurich,101.2,48.7,6.3,45.1
0.1,0.1,C,290.2,659.3,Madrid,178.2,30.7,3.1,66.2
0.1,0.2,A,224.2,1481.6,London,223.0,16.1,0.9,83.0
0.1,0.2,B,465.6,209.2,Zurich,99.8,45.7,11.3,42.9
0.1,0.2,C,314.6,665.8,Madrid,175.2,30.4,5.6,64.0
0.1,0.4,A,230.2,1484.8,London,223.2,15.8,1.5,82.7
0.1,0.4,B,524.4,204.1,Zurich,97.4,43.4,17.4,39.1
0.1,0.4,C,345.8,668.6,Madrid,175.4,28.1,9.6,62.3
0.2,0.05,A,219.6,1484.2,London,228.8,16.8,0.2,83.0
0.2,0.05,B,455.6,204.9,Zurich,98.6,54.6,2.1,43.2
0.2,0.05,C,297.6,672.7,Madrid,177.8,33.5,1.5,65.0
0.2,0.1,A,225.2,1484.3,London,232.0,16.7,0.5,82.8
0.2,0.1,B,479.2,200.2,Zurich,94.0,53.2,5.2,41.6
0.2,0.1,C,306.0,671.8,Madrid,175.2,33.0,2.3,64.7
0.2,0.2,A,225.6,1482.9,London,229.4,16.5,0.8,82.7
0.2,0.2,B,510.6,199.0,Zurich,92.6,50.7,9.7,39.6
0.2,0.2,C,328.2,667.9,Madrid,174.4,32.3,4.8,63.0
0.2,0.4,A,230.0,1476.4,London,233.0,16.5,1.2,82.3
0.2,0.4,B,545.4,202.6,Zurich,94.4,45.8,16.6,37.6
0.2,0.4,C,363.8,667.1,Madrid,178.0,30.9,8.2,60.9
0.3,0.05,A,221.0,1491.0,London,231.4,17.2,0.2,82.6
0.3,0.05,B,489.8,201.7,Zurich,93.4,56.8,2.3,40.9
0.3,0.05,C,326.4,668.3,Madrid,175.8,35.8,0.8,63.4
0.3,0.1,A,227.4,1496.1,London,235.6,17.1,0.4,82.6
0.3,0.1,B,504.8,199.8,Zurich,94.2,55.5,4.5,40.1
0.3,0.1,C,333.2,665.4,Madrid,173.6,35.3,1.9,62.8
0.3,0.2,A,224.6,1492.8,London,233.2,16.8,0.7,82.4
0.3,0.2,B,535.2,200.8,Zurich,94.4,53.9,7.5,38.6
0.3,0.2,C,350.6,669.2,Madrid,175.2,35.1,3.7,61.2
0.3,0.4,A,229.6,1491.7,London,234.4,16.7,1.2,82.1
0.3,0.4,B,573.6,199.4,Zurich,91.4,48.7,15.0,36.3
0.3,0.4,C,374.8,664.0,Madrid,172.8,33.6,7.1,59.4
0.5,0.05,A,230.8,1479.2,London,239.0,18.2,0.1,81.7
0.5,0.05,B,567.8,216.5,Zurich,98.6,62.0,1.1,36.9
0.5,0.05,C,365.0,669.5,Madrid,174.4,39.7,0.4,59.8
0.5,0.1,A,237.4,1479.9,London,238.8,18.3,0.2,81.4
0.5,0.1,B,579.2,217.8,Zurich,96.8,61.7,2.3,36.0
0.5,0.1,C,378.6,667.8,Madrid,173.2,39.7,1.3,59.0
0.5,0.2,A,234.4,1481.7,London,235.2,18.1,0.4,81.5
0.5,0.2,B,602.2,214.7,Zurich,93.8,59.7,5.3,35.0
0.5,0.2,C,371.6,668.2,Madrid,173.0,38.0,2.6,59.4
0.5,0.4,A,237.6,1479.0,London,233.4,17.9,0.9,81.2
0.5,0.4,B,625.4,219.6,Zurich,97.8,56.4,9.6,34.1
0.5,0.4,C,392.8,676.7,Madrid,173.6,36.9,4.5,58.6
