city_a,city_b,air_pax,rail_pax,total_pax,air_share,rail_share,distance_km,has_air,has_rail,rail_time_min,frequency_per_day
Amsterdam,Athens,126874,0,126874,1.0,0.0,,True,False,,
Amsterdam,Barcelona,1195930,0,1195930,1.0,0.0,1238.8,True,False,,
Amsterdam,Bari,66905,0,66905,1.0,0.0,,True,False,,
Amsterdam,Belgrade,181975,0,181975,1.0,0.0,,True,False,,
Amsterdam,Berlin,725928,0,725928,1.0,0.0,577.4,True,False,463.0,0.0
Amsterdam,Birmingham,453124,0,453124,1.0,0.0,,True,False,,
Amsterdam,Brussels,261367,0,261367,1.0,0.0,173.5,True,False,,
Amsterdam,Bucharest,419931,0,419931,1.0,0.0,,True,False,,
Amsterdam,Budapest,355526,0,355526,1.0,0.0,,True,False,,
Amsterdam,Cologne,21652,3870,25522,0.8484,0.1516,214.1,True,True,354.0,0.1
Amsterdam,Copenhagen,974673,0,974673,1.0,0.0,,True,False,,
Amsterdam,Edinburgh,477654,0,477654,1.0,0.0,,True,False,,
Amsterdam,Frankfurt,730344,0,730344,1.0,0.0,364.4,True,False,,
Amsterdam,Geneva,551455,0,551455,1.0,0.0,692.3,True,False,,
Amsterdam,Hamburg,348518,0,348518,1.0,0.0,365.9,True,False,,
Amsterdam,Helsinki,558694,0,558694,1.0,0.0,,True,False,,
Amsterdam,Lisbon,740868,0,740868,1.0,0.0,1863.4,True,False,,
Amsterdam,Ljubljana,31575,0,31575,1.0,0.0,,True,False,,
Amsterdam,London,3074008,0,3074008,1.0,0.0,356.9,True,False,,
Amsterdam,Lyon,74194,0,74194,1.0,0.0,736.7,True,False,,
Amsterdam,Madrid,919464,0,919464,1.0,0.0,1481.5,True,False,,
Amsterdam,Manchester,739751,0,739751,1.0,0.0,,True,False,,
Amsterdam,Marseille,132572,0,132572,1.0,0.0,1010.0,True,False,,
Amsterdam,Milan,1011120,0,1011120,1.0,0.0,829.7,True,False,,
Amsterdam,Munich,692303,0,692303,1.0,0.0,668.7,True,False,,
Amsterdam,Nicosia,57452,0,57452,1.0,0.0,,True,False,,
Amsterdam,Nottingham,36342,0,36342,1.0,0.0,,True,False,,
Amsterdam,Oslo,581306,0,581306,1.0,0.0,,True,False,,
Amsterdam,Palma,299460,0,299460,1.0,0.0,1434.1,True,False,,
Amsterdam,Paris,1052836,0,1052836,1.0,0.0,430.5,True,False,,
Amsterdam,Porto,287990,0,287990,1.0,0.0,1611.9,True,False,,
Amsterdam,Prague,448363,0,448363,1.0,0.0,,True,False,,
Amsterdam,Riga,99696,0,99696,1.0,0.0,,True,False,,
Amsterdam,Rome,723890,0,723890,1.0,0.0,1298.7,True,False,,
Amsterdam,Rotterdam,95287,3562941,3658228,0.026,0.974,57.5,True,True,26.0,104.6
Amsterdam,Seville,125640,0,125640,1.0,0.0,1869.1,True,False,,
Amsterdam,Stockholm,687120,0,687120,1.0,0.0,,True,False,,
Amsterdam,Strasbourg,344071,0,344071,1.0,0.0,467.3,True,False,,
Amsterdam,Stuttgart,246252,0,246252,1.0,0.0,501.0,True,False,,
Amsterdam,Tallinn,74124,0,74124,1.0,0.0,,True,False,,
Amsterdam,The Hague,0,8641664,8641664,0.0,1.0,52.1,False,True,6.0,253.7
Amsterdam,Toulouse,172642,0,172642,1.0,0.0,1008.0,True,False,,
Amsterdam,Turin,50489,0,50489,1.0,0.0,837.5,True,False,,
Amsterdam,Utrecht,0,20004811,20004811,0.0,1.0,35.2,False,True,2.0,454.5
Amsterdam,Venice,327633,0,327633,1.0,0.0,942.8,True,False,,
Amsterdam,Vienna,668912,0,668912,1.0,0.0,936.5,True,False,,
Amsterdam,Vilnius,75227,0,75227,1.0,0.0,,True,False,,
Amsterdam,Warsaw,466220,0,466220,1.0,0.0,,True,False,,
Amsterdam,Zurich,670939,0,670939,1.0,0.0,615.3,True,False,,
Antwerp,Brussels,0,1999471,1999471,0.0,1.0,41.3,False,True,1.0,58.7
Antwerp,Rotterdam,0,2585346,2585346,0.0,1.0,78.3,False,True,27.0,75.89999999999999
Athens,Barcelona,86542,0,86542,1.0,0.0,,True,False,,
Athens,Belgrade,59965,0,59965,1.0,0.0,,True,False,,
Athens,Berlin,71076,0,71076,1.0,0.0,,True,False,,
Athens,Birmingham,9181,0,9181,1.0,0.0,,True,False,,
Athens,Brussels,132564,0,132564,1.0,0.0,,True,False,,
Athens,Bucharest,74576,0,74576,1.0,0.0,,True,False,,
Athens,Budapest,53978,0,53978,1.0,0.0,,True,False,,
Athens,Cologne,25620,0,25620,1.0,0.0,,True,False,,
Athens,Copenhagen,59456,0,59456,1.0,0.0,,True,False,,
Athens,Edinburgh,17395,0,17395,1.0,0.0,,True,False,,
Athens,Frankfurt,157700,0,157700,1.0,0.0,,True,False,,
Athens,Geneva,62310,0,62310,1.0,0.0,,True,False,,
Athens,Hamburg,23548,0,23548,1.0,0.0,,True,False,,
Athens,Helsinki,10639,0,10639,1.0,0.0,,True,False,,
Athens,Lisbon,36126,0,36126,1.0,0.0,,True,False,,
Athens,London,436234,0,436234,1.0,0.0,,True,False,,
Athens,Madrid,79289,0,79289,1.0,0.0,,True,False,,
Athens,Manchester,44027,0,44027,1.0,0.0,,True,False,,
Athens,Marseille,22784,0,22784,1.0,0.0,,True,False,,
Athens,Milan,166630,0,166630,1.0,0.0,,True,False,,
Athens,Munich,197031,0,197031,1.0,0.0,,True,False,,
