from_city,to_city,operator,travel_time_min,frequency_per_day,night_train,iso_code,capacity_seats,avg_pass_per_train_km_eurostat,load_factor_implied,distance_km,rail_demand_proxy,fallback_used
Amsterdam,Berlin,Netherlands,463,0.0,False,NL(fallback=EU_median),290,93.32,0.3218,577.4,0.0,True
Amsterdam,Rotterdam,Netherlands,27,103.7,False,NL(fallback=EU_median),290,93.32,0.3218,57.5,556458.1,True
Amsterdam,The Hague,Netherlands,6,253.7,False,NL(fallback=EU_median),290,93.32,0.3218,52.1,1233513.9,True
Amsterdam,Utrecht,Germany,2,454.5,True,DE,490,120.59,0.2461,35.2,1929297.6,False
Antwerp,Brussels,Netherlands,1,58.0,False,NL(fallback=EU_median),290,93.32,0.3218,41.3,223544.5,True
Antwerp,Lille,Belgium,56,0.0,False,BE(fallback=EU_median),350,93.32,0.2666,114.6,0.0,True
Antwerp,Rotterdam,Netherlands,27,75.89999999999999,True,NL(fallback=EU_median),290,93.32,0.3218,78.3,554612.2,True
Barcelona,Bilbao,Spain,423,1.0,False,ES,330,200.06,0.6062,466.9,93407.0,False
Barcelona,Granada,Spain,386,1.0,False,ES,330,200.06,0.6062,681.2,136279.4,False
Barcelona,Lyon,Spain,306,5.0,False,ES,330,200.06,0.6062,531.0,531153.6,False
Barcelona,Madrid,Spain,181,116.0,False,ES,330,200.06,0.6062,504.2,11700823.7,False
Barcelona,Malaga,Spain,384,2.0,False,ES,330,200.06,0.6062,769.1,307729.0,False
Barcelona,Marseille,Spain,295,51.0,False,ES,330,200.06,0.6062,339.3,3461861.1,False
Barcelona,Paris,France,406,2.5,False,FR,450,276.35,0.6141,830.2,573566.2,False
Barcelona,Seville,Spain,370,2.0,False,ES,330,200.06,0.6062,828.2,331375.8,False
Barcelona,Valencia,Spain,167,26.0,False,ES,330,200.06,0.6062,302.5,1573455.0,False
Berlin,Amsterdam,Netherlands,507,0.0,False,NL(fallback=EU_median),290,93.32,0.3218,577.4,0.0,True
Berlin,Bremen,Netherlands,209,0.3,False,NL(fallback=EU_median),290,93.32,0.3218,315.4,8830.2,True
Berlin,Dortmund,Germany,256,0.3,True,DE,490,120.59,0.2461,421.8,15259.9,False
Berlin,Dresden,Germany,85,28.6,False,DE,490,120.59,0.2461,165.4,570458.7,False
Berlin,Frankfurt,Germany,215,29.6,False,DE,490,120.59,0.2461,423.7,1512421.5,False
Berlin,Hamburg,Germany,95,45.8,False,DE,490,120.59,0.2461,255.4,1410616.8,False
Berlin,Hannover,Germany,78,117.4,True,DE,490,120.59,0.2461,249.8,3536577.7,False
Berlin,Leipzig,Germany,69,65.7,True,DE,490,120.59,0.2461,149.8,1186861.0,False
Berlin,Nuremberg,Germany,158,63.4,True,DE,490,120.59,0.2461,378.4,2893097.4,False
Berlin,Utrecht,Netherlands,300,3.8,False,NL(fallback=EU_median),290,93.32,0.3218,565.2,200434.1,True
Bilbao,Barcelona,Spain,431,145.0,False,ES,330,200.06,0.6062,466.9,13544016.7,False
Bilbao,Madrid,Spain,253,8.0,False,ES,330,200.06,0.6062,323.0,516949.5,False
Bordeaux,Nantes,France,236,4.0,False,FR,450,276.35,0.6141,274.7,303654.3,False
Bordeaux,Paris,France,123,67.4,False,FR,450,276.35,0.6141,498.6,9286947.1,False
Bordeaux,Strasbourg,Switzerland,403,1.6,False,CH,400,106.06,0.2651,758.4,128696.8,False
Bordeaux,Toulouse,France,146,13.1,False,FR,450,276.35,0.6141,212.0,767481.6,False
Bremen,Berlin,Netherlands,200,0.3,False,NL(fallback=EU_median),290,93.32,0.3218,315.4,8830.2,True
Bremen,Cologne,Germany,196,0.3,True,DE,490,120.59,0.2461,270.0,9768.0,False
Bremen,Dortmund,Germany,99,52.9,True,DE,490,120.59,0.2461,196.1,1250996.0,False
Bremen,Essen,Germany,118,0.4,True,DE,490,120.59,0.2461,217.6,10496.4,False
Bremen,Hamburg,Germany,30,111.5,True,DE,490,120.59,0.2461,94.8,1274693.8,False
Bremen,Hannover,Germany,39,78.1,True,DE,490,120.59,0.2461,100.2,943716.2,False
Bremen,Utrecht,Netherlands,211,0.9,False,NL(fallback=EU_median),290,93.32,0.3218,272.0,22845.3,True
Brussels,Antwerp,Netherlands,1,58.7,True,NL(fallback=EU_median),290,93.32,0.3218,41.3,226242.4,True
Brussels,Cologne,Austria,158,4.1,True,AT,350,107.15,0.3061,182.7,80259.4,False
Brussels,Liege,Germany,25,27.8,True,DE,490,120.59,0.2461,89.1,298706.8,False
Brussels,Lille,France,30,22.7,False,FR,450,276.35,0.6141,94.2,590932.1,False
Brussels,London,Netherlands,125,1.4,False,NL(fallback=EU_median),290,93.32,0.3218,320.3,41847.6,True
Brussels,Munich,Austria,637,0.6,True,AT,350,107.15,0.3061,602.5,38733.1,False
Brussels,Paris,Germany,75,54.900000000000006,False,DE,490,120.59,0.2461,264.3,1749815.2,False
Brussels,Rotterdam,Netherlands,79,8.7,False,NL(fallback=EU_median),290,93.32,0.3218,119.5,97022.6,True
Cologne,Amsterdam,Switzerland,354,0.1,True,CH,400,106.06,0.2651,214.1,2270.7,False
Cologne,Brussels,Austria,171,3.4,False,AT,350,107.15,0.3061,182.7,66556.6,False
Cologne,Duisburg,Germany,38,7.9,True,DE,490,120.59,0.2461,57.0,54303.1,False
Cologne,Dusseldorf,Germany,2,488.7000000000001,True,DE,490,120.59,0.2461,34.4,2027325.4,False
