scenario,p_disrupt,city,avg_stranded,avg_index
A,0.5,Strasbourg,3.4,0.0182
A,0.5,Duisburg,32.42857142857143,0.2342857142857143
A,0.5,Geneva,3.375,0.018375
A,0.5,Frankfurt,11.777777777777779,0.023000000000000003
A,0.5,Paris,27.666666666666668,0.037111111111111116
A,0.5,Venice,2.4285714285714284,0.018571428571428572
A,0.5,Antwerp,16.5,0.29512499999999997
A,0.5,Hamburg,46.77777777777778,0.17200000000000001
A,0.5,Bremen,31.625,0.295625
A,0.5,Nuremberg,8.571428571428571,0.05471428571428572
A,0.5,Rotterdam,34.6,0.24779999999999996
A,0.5,Palermo,2.6666666666666665,0.06166666666666667
A,0.5,London,86.33333333333333,0.12744444444444444
A,0.5,Liege,6.142857142857143,0.12142857142857146
A,0.5,Rome,6.0,0.017111111111111115
A,0.5,Seville,1.5,0.0125
A,0.5,Utrecht,29.5,0.21037499999999998
A,0.5,Hannover,16.0,0.08887500000000001
A,0.5,Cologne,21.6,0.0814
A,0.5,Vienna,8.428571428571429,0.03357142857142857
A,0.5,Leipzig,3.3333333333333335,0.025333333333333333
A,0.5,Dortmund,33.75,0.176875
A,0.5,Lille,25.375,0.354
A,0.5,Dusseldorf,34.57142857142857,0.251
A,0.5,Stuttgart,2.4,0.0196
A,0.5,Lyon,1.5,0.0115
A,0.5,Toulouse,3.0,0.025000000000000005
A,0.5,Amsterdam,50.3,0.10810000000000002
A,0.5,Munich,11.444444444444445,0.025888888888888892
A,0.5,Essen,33.77777777777778,0.2131111111111111
A,0.5,Lisbon,5.666666666666667,0.021111111111111112
A,0.5,The Hague,17.444444444444443,0.2132222222222222
A,0.5,Madrid,12.25,0.023
A,0.5,Barcelona,8.0,0.0174
A,0.5,Palma,5.5,0.026125000000000002
A,0.5,Zurich,6.444444444444445,0.022000000000000002
A,0.5,Milan,8.0,0.017444444444444446
A,0.5,Marseille,2.5,0.019500000000000003
A,0.5,Porto,3.0,0.023428571428571434
A,0.5,Turin,1.8,0.0172
A,0.5,Brussels,42.1,0.13999999999999999
A,0.5,Berlin,14.6,0.0394
B,0.5,Strasbourg,5.0,0.0275
B,0.5,Hannover,2.5,0.014
B,0.5,Cologne,2.5,0.01
B,0.5,Vienna,6.0,0.022
B,0.5,Leipzig,1.5,0.011
B,0.5,Geneva,4.5,0.025500000000000002
