scenario,spawn_rate,n_agents,city,avg_stranded,avg_index
A,100,209,Dusseldorf,47.0,0.32039999999999996
A,100,209,Geneva,9.8,0.05450000000000001
A,100,209,Antwerp,19.5,0.3526000000000001
A,100,209,Hannover,28.7,0.16299999999999998
A,100,209,Rotterdam,48.2,0.3478
A,100,209,Milan,26.5,0.0563
A,100,209,Nuremberg,14.4,0.0893
A,100,209,Naples,1.0,0.016
A,100,209,Bremen,36.4,0.34509999999999996
A,100,209,Munich,31.9,0.0732
A,100,209,Barcelona,27.3,0.0596
A,100,209,Toulouse,5.9,0.049
A,100,209,Seville,3.6,0.029099999999999997
A,100,209,Turin,3.8,0.0354
A,100,209,Duisburg,43.4,0.3116
A,100,209,London,228.0,0.33080000000000004
A,100,209,Dortmund,60.6,0.32939999999999997
A,100,209,Lyon,2.3333333333333335,0.017444444444444443
A,100,209,Cologne,48.2,0.1857
A,100,209,Liege,14.4,0.2643
A,100,209,Amsterdam,147.7,0.3237
A,100,209,Lille,23.8,0.34540000000000004
A,100,209,Frankfurt,38.5,0.07469999999999999
A,100,209,The Hague,24.8,0.3085
A,100,209,Strasbourg,6.0,0.03311111111111111
A,100,209,Porto,7.7,0.0611
A,100,209,Stuttgart,4.9,0.0393
A,100,209,Vienna,20.0,0.0768
A,100,209,Leipzig,3.4,0.026600000000000002
A,100,209,Essen,56.6,0.3495
A,100,209,Berlin,38.5,0.10200000000000001
A,100,209,Zurich,20.8,0.07040000000000002
A,100,209,Brussels,100.9,0.32989999999999997
A,100,209,Palermo,2.875,0.066
A,100,209,Madrid,30.4,0.0588
A,100,209,Utrecht,43.7,0.3271
A,100,209,Palma,15.1,0.0742
A,100,209,Paris,59.5,0.0809
A,100,209,Hamburg,87.8,0.32589999999999997
A,100,209,Lisbon,18.9,0.0707
A,100,209,Rome,21.5,0.0613
A,100,209,Venice,7.2,0.0511
A,100,209,Marseille,4.1,0.03150000000000001
B,100,209,Cologne,2.8,0.0109
B,100,209,Amsterdam,4.888888888888889,0.010777777777777777
B,100,209,Geneva,5.5,0.030699999999999998
B,100,209,Frankfurt,8.5,0.0171
B,100,209,Hannover,2.111111111111111,0.012
B,100,209,Rotterdam,1.0,0.008
B,100,209,Milan,8.3,0.017800000000000003
B,100,209,Strasbourg,4.3,0.024800000000000003
B,100,209,Porto,1.625,0.01225
B,100,209,Stuttgart,1.2,0.01
B,100,209,Vienna,6.2,0.023200000000000002
B,100,209,Leipzig,3.142857142857143,0.02428571428571429
B,100,209,Berlin,2.4,0.0063
B,100,209,Zurich,95.9,0.32639999999999997
B,100,209,Brussels,2.2,0.007000000000000001
B,100,209,Palermo,1.3333333333333333,0.03233333333333333
B,100,209,Bremen,1.0,0.009
B,100,209,Munich,5.7,0.0131
B,100,209,Barcelona,4.5,0.009899999999999999
B,100,209,Madrid,5.0,0.009600000000000001
B,100,209,Palma,2.4444444444444446,0.011888888888888888
B,100,209,Seville,1.5,0.012499999999999999
B,100,209,Paris,9.4,0.0129
B,100,209,Hamburg,3.7,0.0132
B,100,209,Lisbon,3.25,0.012624999999999999
B,100,209,Rome,3.4,0.0096
B,100,209,London,9.222222222222221,0.013333333333333334
B,100,209,Venice,2.111111111111111,0.014888888888888889
B,100,209,Marseille,1.4,0.010199999999999999
C,100,209,Cologne,2.1,0.008300000000000002
C,100,209,Amsterdam,19.0,0.0414
C,100,209,Geneva,7.9,0.0442
C,100,209,Frankfurt,12.9,0.0256
C,100,209,Rotterdam,1.0,0.0075
C,100,209,Milan,16.8,0.03629999999999999
C,100,209,Strasbourg,3.0,0.0164
C,100,209,Porto,40.2,0.31610000000000005
C,100,209,Murcia,9.9,0.29710000000000003
C,100,209,Stuttgart,2.0,0.016900000000000005
C,100,209,Bilbao,10.0,0.33259999999999995
C,100,209,Vienna,11.8,0.04429999999999999
C,100,209,Berlin,7.6,0.019700000000000002
C,100,209,Zurich,7.5,0.0258
C,100,209,Brussels,5.9,0.0189
C,100,209,Palermo,1.6,0.0336
C,100,209,Munich,11.3,0.0262
C,100,209,Barcelona,41.6,0.0909
C,100,209,Madrid,169.7,0.3285
C,100,209,Toulouse,4.3,0.0354
C,100,209,Seville,41.9,0.33149999999999996
C,100,209,Palma,11.0,0.054400000000000004
C,100,209,Turin,1.8571428571428572,0.018142857142857145
C,100,209,Paris,21.1,0.028600000000000004
C,100,209,Hamburg,6.3,0.023299999999999998
C,100,209,Lisbon,86.7,0.32189999999999996
C,100,209,Rome,13.6,0.038700000000000005
C,100,209,London,37.6,0.05450000000000001
C,100,209,Valencia,23.5,0.36689999999999995
C,100,209,Venice,5.0,0.0371
C,100,209,Marseille,3.7,0.028200000000000003
C,100,209,Granada,14.4,0.3258
C,100,209,Lyon,1.75,0.013375000000000001
A,200,417,Dusseldorf,89.4,0.3195
A,200,417,Geneva,19.6,0.0536
A,200,417,Antwerp,36.5,0.32130000000000003
A,200,417,Hannover,60.0,0.1685
A,200,417,Rotterdam,95.4,0.33720000000000006
A,200,417,Milan,52.9,0.05689999999999999
A,200,417,Nuremberg,28.6,0.09090000000000001
A,200,417,Naples,1.5,0.018
A,200,417,Bremen,70.1,0.32670000000000005
A,200,417,Munich,60.9,0.06960000000000002
A,200,417,Barcelona,53.9,0.05890000000000001
A,200,417,Toulouse,9.5,0.039799999999999995
A,200,417,Seville,8.5,0.034100000000000005
A,200,417,Turin,6.1,0.028300000000000002
A,200,417,Duisburg,82.6,0.30569999999999997
A,200,417,London,453.9,0.3296
A,200,417,Dortmund,117.2,0.3356
A,200,417,Lyon,4.1,0.0162
A,200,417,Cologne,91.8,0.17909999999999998
A,200,417,Liege,29.1,0.2772
A,200,417,Amsterdam,294.9,0.32239999999999996
A,200,417,Lille,48.4,0.3362
A,200,417,Frankfurt,71.1,0.0693
A,200,417,The Hague,54.6,0.33649999999999997
A,200,417,Strasbourg,9.7,0.027100000000000003
A,200,417,Porto,16.2,0.06580000000000001
A,200,417,Stuttgart,8.2,0.0359
A,200,417,Vienna,40.0,0.07660000000000002
A,200,417,Leipzig,8.0,0.0311
A,200,417,Essen,99.2,0.3275
A,200,417,Berlin,75.9,0.099
A,200,417,Zurich,40.1,0.0669
A,200,417,Brussels,219.0,0.3499
A,200,417,Palermo,3.9,0.0519
A,200,417,Madrid,64.4,0.06150000000000001
A,200,417,Utrecht,90.6,0.3225
A,200,417,Palma,32.6,0.0776
A,200,417,Paris,124.7,0.08469999999999998
A,200,417,Hamburg,189.9,0.34090000000000004
A,200,417,Rome,45.8,0.06470000000000001
A,200,417,Lisbon,42.2,0.07859999999999999
A,200,417,Venice,12.1,0.0443
A,200,417,Marseille,7.0,0.027399999999999997
B,200,417,Cologne,5.6,0.0108
B,200,417,Amsterdam,8.2,0.009200000000000002
B,200,417,Geneva,12.4,0.0349
B,200,417,Frankfurt,15.0,0.014600000000000002
B,200,417,Hannover,3.6,0.01
B,200,417,Rotterdam,1.3333333333333333,0.005
B,200,417,Milan,17.0,0.018300000000000004
B,200,417,Strasbourg,8.6,0.0243
B,200,417,Porto,2.625,0.010625
B,200,417,Stuttgart,1.8888888888888888,0.008111111111111112
B,200,417,Vienna,11.8,0.022600000000000002
B,200,417,Leipzig,3.5,0.013300000000000001
B,200,417,Berlin,4.9,0.006399999999999999
B,200,417,Zurich,186.5,0.3156
B,200,417,Brussels,5.8,0.0095
B,200,417,Palermo,1.3333333333333333,0.016166666666666666
B,200,417,Munich,10.8,0.012300000000000002
B,200,417,Barcelona,8.3,0.009199999999999998
B,200,417,Madrid,9.9,0.0094
B,200,417,Palma,4.7,0.011300000000000001
B,200,417,Seville,2.1,0.0085
B,200,417,Paris,19.9,0.0137
B,200,417,Hamburg,8.3,0.015
B,200,417,Lisbon,6.8,0.0129
B,200,417,Rome,7.6,0.0104
B,200,417,London,16.0,0.0115
B,200,417,Venice,2.9,0.0108
B,200,417,Marseille,1.6666666666666667,0.0064444444444444445
C,200,417,Cologne,5.5,0.0104
C,200,417,Amsterdam,29.3,0.03230000000000001
C,200,417,Geneva,16.0,0.0432
C,200,417,Frankfurt,30.8,0.029500000000000005
C,200,417,Rotterdam,1.0,0.003
C,200,417,Milan,32.7,0.0353
C,200,417,Strasbourg,4.7,0.0132
C,200,417,Porto,76.5,0.32070000000000004
C,200,417,Murcia,22.1,0.3198
C,200,417,Stuttgart,5.1,0.022200000000000004
C,200,417,Bilbao,18.2,0.31689999999999996
C,200,417,Vienna,21.0,0.0395
C,200,417,Berlin,16.8,0.021799999999999996
C,200,417,Zurich,16.3,0.028000000000000008
C,200,417,Brussels,15.2,0.0246
C,200,417,Palermo,2.25,0.02925
C,200,417,Bremen,1.0,0.0045000000000000005
C,200,417,Munich,21.3,0.024700000000000003
C,200,417,Barcelona,89.6,0.0988
C,200,417,Madrid,343.4,0.3297
C,200,417,Toulouse,8.3,0.034100000000000005
C,200,417,Seville,77.6,0.31679999999999997
C,200,417,Palma,24.1,0.05750000000000001
C,200,417,Turin,2.5714285714285716,0.011571428571428571
C,200,417,Paris,39.0,0.026600000000000002
C,200,417,Hamburg,13.3,0.024
C,200,417,Lisbon,173.7,0.3285
C,200,417,Rome,30.6,0.042699999999999995
C,200,417,London,66.0,0.0485
C,200,417,Valencia,42.5,0.3403
C,200,417,Venice,8.7,0.0305
C,200,417,Marseille,5.8,0.0216
C,200,417,Granada,30.5,0.33799999999999997
C,200,417,Lyon,3.6,0.013900000000000001
A,500,1044,Dusseldorf,236.2,0.3266
A,500,1044,Geneva,51.7,0.05650000000000001
A,500,1044,Antwerp,88.7,0.31599999999999995
A,500,1044,Hannover,145.7,0.1614
A,500,1044,Rotterdam,229.4,0.32620000000000005
A,500,1044,Milan,130.0,0.05600000000000001
A,500,1044,Nuremberg,66.4,0.0841
A,500,1044,Naples,1.2,0.0058000000000000005
A,500,1044,Bremen,182.8,0.3416
A,500,1044,Munich,159.0,0.07249999999999998
A,500,1044,Barcelona,140.9,0.06240000000000001
A,500,1044,Toulouse,26.4,0.04329999999999999
A,500,1044,Seville,24.7,0.0392
A,500,1044,Turin,14.5,0.0257
A,500,1044,Duisburg,204.2,0.3043
A,500,1044,London,1121.4,0.32730000000000004
A,500,1044,Dortmund,311.6,0.3474
A,500,1044,Lyon,10.6,0.0165
A,500,1044,Cologne,232.8,0.1799
A,500,1044,Liege,68.6,0.2587
A,500,1044,Amsterdam,723.0,0.31529999999999997
A,500,1044,Lille,123.5,0.33039999999999997
A,500,1044,Frankfurt,193.1,0.0744
A,500,1044,The Hague,123.1,0.3164
A,500,1044,Strasbourg,22.9,0.0268
A,500,1044,Porto,39.8,0.06649999999999999
A,500,1044,Stuttgart,20.4,0.035100000000000006
A,500,1044,Vienna,107.4,0.0802
A,500,1044,Leipzig,19.8,0.030500000000000006
A,500,1044,Essen,249.7,0.33320000000000005
A,500,1044,Berlin,191.8,0.0997
A,500,1044,Zurich,102.5,0.0695
A,500,1044,Brussels,549.5,0.3507
A,500,1044,Palermo,8.7,0.044
A,500,1044,Madrid,163.5,0.0623
A,500,1044,Utrecht,242.5,0.3492
A,500,1044,Palma,78.2,0.07520000000000002
A,500,1044,Paris,301.4,0.08289999999999999
A,500,1044,Hamburg,458.5,0.3328
A,500,1044,Rome,101.6,0.057100000000000005
A,500,1044,Lisbon,97.8,0.0745
